"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"India","IND","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.91950592558924","2.97133758315995","2.87545175563563","2.73947228928257","2.68426684904522","2.89344264122724","2.74032078669319","2.75237824414071","2.92483859448283","2.91728935070218","3.02227130923788","2.98323543628376","3.08391759194299","2.99700585535857","2.87123059009808","2.89442495381078","2.67298254479988","2.76050114829198","2.64704509146302","2.60381440741946","2.57756899886359","2.42577425999889","2.49792462697395","","","",
"India","IND","Voice and Accountability: Standard Error","VA.STD.ERR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.208055749535561","","0.21355502307415","","0.202215626835823","","0.163097977638245","0.166093751788139","0.160542070865631","0.157191187143326","0.128287777304649","0.128392040729523","0.128971502184868","0.130922839045525","0.128923758864403","0.125127181410789","0.120118409395218","0.119537025690079","0.127572983503342","0.129730626940727","0.125497177243233","0.125990301370621","0.129135742783546","0.123259000480175","0.125669717788696","0.127506524324417","0.125580012798309","0.123079940676689","",
"India","IND","Voice and Accountability: Number of Sources","VA.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","7","","8","","10","10","11","12","15","15","15","15","15","16","16","15","13","13","13","13","13","12","12","12","12","12","",
"India","IND","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.56909614274288","7.73016032755592","7.87117262454535","7.70439427946636","8.87350364988968","9.22122174793918","8.02476917234515","7.66325704378624","7.36208114076572","9.04145168835151","10.2237396907979","11.0325638466576","10.2125596625118","12.6822794807287","14.9343472986716","",
"India","IND","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","3.2041412599","3.095823092","3.492380142","3.4139554597","3.527263339","3.4109026678","3.5077112834","4.2163996123","4.9387695311","5.9232765782","6.7061052307","6.6156783708","7.3250235352","8.0505656712","9.3381874359","11.4311792578","12.3548916905","13.06509522","12.478757455","13.3108861001","15.8160422837","16.1824147507","18.380201706","22.005076056","28.6054158138","37.2","45.5","56","72.7","61.5","84.5","113","110.8","117.5","120.4","100","98.7","111.7","121.2","121","103.2","147.6","169.2","161.1","",
"India","IND","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","4.5515171723908","5.88093902732153","5.09621656881931","3.84615384615385","3.70682985158613","4.09756823083216","4.11001236093943","3.98108602806589","4.25247768327827","3.89891199559289","5.94916610406821","7.74846296185758","5.56501278026789","3.56216755319149","4.79162795677929","5.53543912659118","4.35255814388012","5.10748320321068","5.0128013884307","4.50398475451641","5.41455288861967","6.4964261934749","4.5952112091812","3.43220010090427","2.40188261991513","2.219917200983","2.19751585164596","2.02181924554617","2.07770669542797","0.404028945558339","2.29319792413973","2.80573763380953","3.20843976861836","2.80515511758254","3.2857157590406","4.5880699046645","4.45603837928441","4.37812510287464","4.91130843609153","4.39983548623384","4.3720479633727","5.15571985090115","4.93038307188264","4.85099767789544","5.25787173435396","5.29325228168214","6.41994545505523","7.00291844778223","6.48851862809628","6.13823347685424","6.44421670895151","6.70817620567585","7.80579313814654","8.51729938933517","9.16580878124049","8.18054330954276","7.20244514991733","6.86526925868836","6.66369539028361","7.56291967027285","8.00099285714823","8.08798575027641","9.35280297259764","8.97204663257978","",
"India","IND","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","0.53351117039013","0.624949923884304","0.766470971950424","0.568181818181818","0.168811985650981","0.215661485833271","0.0695302843016069","0.0457596095179988","0.0702888873269136","0.141853739154386","0.0237541569774711","0.182653853041246","0.369612635546324","0.216921542553191","0.277766405381488","0.159015581337428","0.369019203011944","0.197215023275841","0.0849840072290193","0.0748771738163116","0.0916180813205119","0.0294808955774646","0.0374041187075547","0.0761633096596423","0.0535648878717526","0.0981437078329326","0.317255632985677","0.236980234525112","0.227899473767052","0.272167695287865","0.347918859505334","0.355444139422432","0.526123375657047","1.04146173029281","0.685823221230518","0.864587552123859","0.938400393663389","1.00888471090855","0.885943635770918","0.828783484940636","1.11615119188367","0.921073808706858","1.09743678597602","1.35045570039593","1.44349305081972","1.48152459541889","1.51127584247814","1.5671516022228","1.34410936618245","1.21755258097798","1.61542707412213","1.67763306192355","1.73287650615883","1.81134085834544","2.23961542550064","2.04056050722586","2.09583751723784","2.02694633867948","2.05623988778255","2.07781850015401","1.93495811299878","2.27050701087456","2.61358362623256","2.44514317746038","",
"India","IND","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","1332000000","1386000000","1403000000","1626000000","1705000000","1687000000","1954000000","1613000000","1761000000","1835000000","2026000000","2036000000","2448000000","2917000000","3926000000","4355000000","5549000000","6378000000","6671000000","7806000000","8586000000","8295000000","9358000000","9148000000","9451000000","9140000000","9399000000","11298000000","13234000000","15872000000","17969000000","17727000000","19628000000","21572000000","25022000000","30630000000","33105000000","35008000000","33437000000","35667000000","42379000000","43361000000","49250000000","58963000000","76649000000","99616000000","121808000000","150159000000","194828000000","164909000000","226351000000","302905000000","296828000000","314848000000","322694000000","267951000000","264542000000","299241000000","324778000000","324340000000","276410000000","395426000000","453415000000","431559000000","442600000000",
"India","IND","Insurance and financial services (% of commercial service exports)","TX.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","2.89115491566819","2.52427048833238","2.25436411505893","1.93974655223916","1.70109942753326","1.29277220920392","1.42890178780449","1.35529787276417","1.30374556429044","1.37907972497627","1.28750330720819","1.45607675011325","1.61853670422871","1.91941265022755","2.67631416628296","2.67490271487382","2.17380626531065","3.06791680083086","2.80795437431548","2.40928767353733","2.51634240336034","2.92431578963433","2.56387016515992","2.07927909494483","1.69915965803846","3.32463648855731","3.50075799091522","4.86360233328962","3.27692945618322","3.13399838800396","4.01940335176619","5.01715393719353","5.66412881332514","5.5379291876306","5.5486195312582","6.53149464884521","6.40361440892926","5.24677059147468","5.72949481454682","5.06090378757499","4.70680053586179","4.47114693817745","3.76046571297753","3.92161132082589","3.43169704869223","3.18848977088711","3.40834666151048","3.46459546951557","3.49237345348414","",
"India","IND","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","9.25729884051672","8.25292351104026","7.99026464783777","7.71134815309765","7.59874918666788","6.77177782087243","5.70165165436713","5.67722102491443","5.55649368385305","5.41351709178988","5.82678263058926","5.07891775012136","5.95947605569764","3.97877492729589","4.17567341381973","3.03255577872028","2.85365661675533","3.68118463336824","4.99806593996183","4.11936805369225","3.43719343526731","3.52132985851005","2.67895942898982","2.83806591839677","3.50437221933462","2.78986417592425","1.9740060298648","2.14052950869383","4.05073074109245","2.00766401605534","1.59579188904255","1.97195508825926","1.19232903397712","1.29416963874987","2.5333032302586","2.00406561154713","1.65605105729538","1.4181646608019","1.25928051395496","1.13946841502435","1.06279577378163","1.07983395037738","1.2038845130859","1.2677593168785","1.71787505435699","1.98294426026312","1.73540589346138","1.28973766827269","2.22625861264457","2.48195512879416","4.09608734399954","2.82993900019101","2.17094784216849","1.7736046518473","1.5373233001934","1.51484254623607","1.56952573989149","1.14645412586871","1.33684682253082","1.46901995334455","0.942789378851202","0.822662153689855","0.900284268232885",
